CID,FSA,Comm_Name,PR,HR,health_region,HR_UID,HR_NAME
492389500,A1E,ST. JOHN'S,10,1011,Eastern,1011,Eastern Regional Health Authority
492389503,K9H,PETERBOROUGH,35,3555,Peterborough,3555,Peterborough Public Health
492389511,M8Z,ETOBICOKE,35,3595,Toronto,3595,Toronto Public Health
492389515,L6A,MAPLE,35,3570,York,3570,York Region Public Health
492389518,B3K,HALIFAX,12,1204,Zone 4 - Central,1204,Zone 4 - Central
492389523,M6R,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492389535,E1B,RIVERVIEW,13,1301,Zone 1 (Moncton area),1301,Zone 1 (Moncton area)
492389572,M9W,ETOBICOKE,35,3595,Toronto,3595,Toronto Public Health
492389575,L6T,BRAMPTON,35,3553,Peel,3553,Peel Public Health
492389610,M6A,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health
492389620,K1J,GLOUCESTER,35,3551,Ottawa,3551,Ottawa Public Health
492389624,N0C,MARKDALE,35,3533,Grey Bruce,3533,Grey Bruce Health Unit
492389644,V7M,NORTH VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal
492389649,V3M,NEW WESTMINSTER,59,5902,Fraser,591,Fraser
492389653,K0K,QUINTE WEST,35,3538,Hastings Prince Edward,3538,Hastings and Prince Edward Counties Health Unit
492389655,B3A,DARTMOUTH,12,1204,Zone 4 - Central,1204,Zone 4 - Central
492389662,T2G,CALGARY,48,4832,Calgary,4832,Calgary Zone
492389664,V9S,NANAIMO,59,5904,Island,593,Vancouver Island
492389666,M9R,ETOBICOKE,35,3595,Toronto,3595,Toronto Public Health
492389667,L5C,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health
492389675,M1P,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
492389702,L4C,RICHMOND HILL,35,3570,York,3570,York Region Public Health
492389708,V4M,DELTA,59,5902,Fraser,591,Fraser
492389722,T5T,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492389743,M1B,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
492389783,K2J,NEPEAN,35,3551,Ottawa,3551,Ottawa Public Health
492389784,V1T,VERNON,59,5901,Interior,592,Interior
492389819,M9V,ETOBICOKE,35,3595,Toronto,3595,Toronto Public Health
492389823,L3Z,BRADFORD,35,3560,Simcoe Muskoka,3560,Simcoe Muskoka District Health Unit
492389844,V9V,NANAIMO,59,5904,Island,593,Vancouver Island
492389863,T5G,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492389867,L5A,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health
492389879,H4M,SAINT-LAURENT,24,2406,Montréal,2406,Région de Montréal
492389881,V4M,DELTA,59,5902,Fraser,591,Fraser
492389903,P7K,THUNDER BAY,35,3562,Thunder Bay,3562,Thunder Bay District Health Unit
492389916,H2A,MONTREAL,24,2406,Montréal,2406,Région de Montréal
492389920,M9B,ETOBICOKE,35,3595,Toronto,3595,Toronto Public Health
492389937,E1B,RIVERVIEW,13,1301,Zone 1 (Moncton area),1301,Zone 1 (Moncton area)
492389941,V2N,PRINCE GEORGE,59,5905,Northern,594,Northern
492389950,T5Z,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492389960,M4E,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492389970,R2M,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492389987,R3B,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492390022,K7G,GANANOQUE,35,3543,Leeds Grenville and Lanark,3543,"Leeds, Grenville and Lanark District Health Unit"
492390041,N0M,PARKHILL,35,3539,Huron Perth,3539,Huron Perth Health Unit
492390056,V5V,VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal
492390070,M2N,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health
492390076,R0C,GIMLI,46,4603,Interlake-Eastern,4603,Interlake-Eastern Regional Health Authority
492390096,B2T,FALL RIVER,12,1204,Zone 4 - Central,1204,Zone 4 - Central
492390098,L4E,RICHMOND HILL,35,3570,York,3570,York Region Public Health
492390101,E4E,SUSSEX,13,1302,Zone 2 (Saint John area),1302,Zone 2 (Saint John area)
492390102,R2M,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492390116,K1Y,OTTAWA,35,3551,Ottawa,3551,Ottawa Public Health
492390128,V4R,MAPLE RIDGE,59,5902,Fraser,591,Fraser
492390137,K2E,NEPEAN,35,3551,Ottawa,3551,Ottawa Public Health
492390169,J1L,SHERBROOKE,24,2405,Estrie,2405,Région de l'Estrie
492390171,M4E,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492390179,R2G,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492390187,L1H,OSHAWA,35,3530,Durham,3530,Durham Region Health Department
492390193,V5E,BURNABY,59,5902,Fraser,591,Fraser
492390194,V1C,CRANBROOK,59,5901,Interior,592,Interior
492390204,V2Y,LANGLEY,59,5902,Fraser,591,Fraser
492390216,B0J,HUBBARDS,12,1204,Zone 4 - Central,1204,Zone 4 - Central
492390221,B3A,DARTMOUTH,12,1204,Zone 4 - Central,1204,Zone 4 - Central
492390226,C0B,O'LEARY,11,1100,Prince Edward Island,1100,Prince Edward Island
492390247,T8N,ST. ALBERT,48,4834,Edmonton,4834,Edmonton Zone
492390249,L6L,OAKVILLE,35,3536,Halton,3536,Halton Region Health Department
492390256,T5T,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492390260,V3E,COQUITLAM,59,5902,Fraser,591,Fraser
492390285,V0R,GABRIOLA,59,5904,Island,593,Vancouver Island
492390295,K2B,OTTAWA,35,3551,Ottawa,3551,Ottawa Public Health
492390297,A0A,HOLYROOD,10,1011,Eastern,1011,Eastern Regional Health Authority
492390347,V6Z,VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal
492390351,L4L,WOODBRIDGE,35,3570,York,3570,York Region Public Health
492390354,V2S,ABBOTSFORD,59,5902,Fraser,591,Fraser
492390414,V3B,PORT COQUITLAM,59,5902,Fraser,591,Fraser
492390417,M5C,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492390455,T8X,GRANDE PRAIRIE,48,4835,North,4835,North Zone
492390461,V3A,LANGLEY,59,5902,Fraser,591,Fraser
492390483,C0A,CORNWALL,11,1100,Prince Edward Island,1100,Prince Edward Island
492390485,H4C,MONTREAL,24,2406,Montréal,2406,Région de Montréal
492390488,V8V,VICTORIA,59,5904,Island,593,Vancouver Island
492390489,V7C,RICHMOND,59,5903,Vancouver Coastal,595,Vancouver Coastal
492390507,L5N,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health
492390529,V1V,KELOWNA,59,5901,Interior,592,Interior
492390535,T3G,CALGARY,48,4832,Calgary,4832,Calgary Zone
492390537,J4H,LONGUEUIL,24,2416,Montérégie,2416,Région de la Montérégie
492390564,T3M,CALGARY,48,4832,Calgary,4832,Calgary Zone
492390580,L9Z,WASAGA BEACH,35,3560,Simcoe Muskoka,3560,Simcoe Muskoka District Health Unit
492390594,L4N,BARRIE,35,3560,Simcoe Muskoka,3560,Simcoe Muskoka District Health Unit
492390596,L1G,OSHAWA,35,3530,Durham,3530,Durham Region Health Department
492390608,M9C,ETOBICOKE,35,3595,Toronto,3595,Toronto Public Health
492390633,N0P,BLENHEIM,35,3540,Chatham-Kent,3540,Chatham-Kent Health Unit
492390638,L8G,STONEY CREEK,35,3537,Hamilton,3537,Hamilton Public Health Services
492390658,V4N,SURREY,59,5902,Fraser,591,Fraser
492390677,K2J,NEPEAN,35,3551,Ottawa,3551,Ottawa Public Health
492390681,N0P,BLENHEIM,35,3540,Chatham-Kent,3540,Chatham-Kent Health Unit
492390704,H4C,MONTREAL,24,2406,Montréal,2406,Région de Montréal
492390738,L8L,HAMILTON,35,3537,Hamilton,3537,Hamilton Public Health Services
492390752,P7K,THUNDER BAY,35,3562,Thunder Bay,3562,Thunder Bay District Health Unit
492390768,T9E,LEDUC,48,4834,Edmonton,4834,Edmonton Zone
492390801,K0C,ALEXANDRIA,35,3558,Eastern,3558,Eastern Ontario Health Unit
492390839,V6K,VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal
492390848,H7W,LAVAL,24,2413,Laval,2413,Région de Laval
492390852,K2M,KANATA,35,3551,Ottawa,3551,Ottawa Public Health
492390872,N2H,KITCHENER,35,3565,Waterloo,3565,"Region of Waterloo, Public Health"
492390881,M2K,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health
492390896,K0K,QUINTE WEST,35,3538,Hastings Prince Edward,3538,Hastings and Prince Edward Counties Health Unit
492390901,G0R,SAINT-HENRI-DE-LEVIS,24,2412,Chaudière-Appalaches,2412,Région de la Chaudière-Appalaches
492390930,B3J,HALIFAX,12,1204,Zone 4 - Central,1204,Zone 4 - Central
492390954,E3B,FREDERICTON,13,1303,Zone 3 (Fredericton area),1303,Zone 3 (Fredericton area)
492390960,V2L,PRINCE GEORGE,59,5905,Northern,594,Northern
492390961,B2N,TRURO,12,1202,Zone 2 - Northern,1202,Zone 2 - Northern
492390980,M1N,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
492391005,H1R,SAINT-LEONARD,24,2406,Montréal,2406,Région de Montréal
492391010,V1C,CRANBROOK,59,5901,Interior,592,Interior
492391048,T5W,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492391050,K9J,PETERBOROUGH,35,3555,Peterborough,3555,Peterborough Public Health
492391055,K7K,KINGSTON,35,3541,Kingston Frontenac Lennox & Addington,3541,"Kingston, Frontenac and Lennox and Addington Health Unit"
492391062,L4N,BARRIE,35,3560,Simcoe Muskoka,3560,Simcoe Muskoka District Health Unit
492391077,S6V,PRINCE ALBERT,47,4702,North,472,North
492391106,L9N,HOLLAND LANDING,35,3570,York,3570,York Region Public Health
492391114,E3A,FREDERICTON,13,1303,Zone 3 (Fredericton area),1303,Zone 3 (Fredericton area)
492391120,N2M,KITCHENER,35,3565,Waterloo,3565,"Region of Waterloo, Public Health"
492391123,V6P,VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal
492391124,T2R,CALGARY,48,4832,Calgary,4832,Calgary Zone
492391143,S0J,SHELLBROOK,47,4701,Far North,471,Far North
492391148,L6Y,BRAMPTON,35,3553,Peel,3553,Peel Public Health
492391192,T8N,ST. ALBERT,48,4834,Edmonton,4834,Edmonton Zone
492391197,V2E,KAMLOOPS,59,5901,Interior,592,Interior
492391201,N5Z,LONDON,35,3544,Middlesex-London,3544,Middlesex-London Health Unit
492391210,K2P,OTTAWA,35,3551,Ottawa,3551,Ottawa Public Health
492391239,V3C,PORT COQUITLAM,59,5902,Fraser,591,Fraser
492391246,L5M,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health
492391261,R2N,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492391273,S0N,GULL LAKE,47,4706,South,476,South
492391304,N7T,SARNIA,35,3542,Lambton,3542,Lambton Public Health
492391321,N7A,GODERICH,35,3539,Huron Perth,3539,Huron Perth Health Unit
492391327,T4B,AIRDRIE,48,4832,Calgary,4832,Calgary Zone
492391339,B0J,HUBBARDS,12,1204,Zone 4 - Central,1204,Zone 4 - Central
492391344,B2N,TRURO,12,1202,Zone 2 - Northern,1202,Zone 2 - Northern
492391400,K9V,LINDSAY,35,3535,Haliburton Kawartha Pineridge,3535,"Haliburton, Kawartha, Pine Ridge District Health Unit"
492391406,T3G,CALGARY,48,4832,Calgary,4832,Calgary Zone
492391410,K9A,COBOURG,35,3535,Haliburton Kawartha Pineridge,3535,"Haliburton, Kawartha, Pine Ridge District Health Unit"
492391460,M1M,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
492391481,P1A,NORTH BAY,35,3547,North Bay Parry Sound,3547,North Bay Parry Sound District Health Unit
492391489,K6J,CORNWALL,35,3558,Eastern,3558,Eastern Ontario Health Unit
492391497,L8V,HAMILTON,35,3537,Hamilton,3537,Hamilton Public Health Services
492391504,S7K,SASKATOON,47,4704,Saskatoon,474,Saskatoon
492391531,V1A,KIMBERLEY,59,5901,Interior,592,Interior
492391535,H2E,MONTREAL,24,2406,Montréal,2406,Région de Montréal
492391540,T1L,BANFF,48,4832,Calgary,4832,Calgary Zone
492391555,V2S,ABBOTSFORD,59,5902,Fraser,591,Fraser
492391558,P7A,THUNDER BAY,35,3562,Thunder Bay,3562,Thunder Bay District Health Unit
492391567,V1V,KELOWNA,59,5901,Interior,592,Interior
492391586,K6H,CORNWALL,35,3558,Eastern,3558,Eastern Ontario Health Unit
492391628,H4N,SAINT-LAURENT,24,2406,Montréal,2406,Région de Montréal
492391648,V5G,BURNABY,59,5902,Fraser,591,Fraser
492391673,V5C,BURNABY,59,5902,Fraser,591,Fraser
492391697,H3C,MONTREAL,24,2406,Montréal,2406,Région de Montréal
492391704,L9E,MILTON,35,3536,Halton,3536,Halton Region Health Department
492391719,S4X,REGINA,47,4705,Regina,475,Regina
492391764,J0K,RAWDON,24,2414,Lanaudière,2414,Région de Lanaudière
492391785,V3J,COQUITLAM,59,5902,Fraser,591,Fraser
492391791,E4Y,ROGERSVILLE,13,1301,Zone 1 (Moncton area),1301,Zone 1 (Moncton area)
492391806,M3N,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health
492391809,L6S,BRAMPTON,35,3553,Peel,3553,Peel Public Health
492391814,L7L,BURLINGTON,35,3536,Halton,3536,Halton Region Health Department
492391827,L1J,OSHAWA,35,3530,Durham,3530,Durham Region Health Department
492391866,V3S,SURREY,59,5902,Fraser,591,Fraser
492391867,M8V,ETOBICOKE,35,3595,Toronto,3595,Toronto Public Health
492391905,M1M,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
492391906,T3G,CALGARY,48,4832,Calgary,4832,Calgary Zone
492391932,N1R,CAMBRIDGE,35,3565,Waterloo,3565,"Region of Waterloo, Public Health"
492391934,J5W,L'ASSOMPTION,24,2414,Lanaudière,2414,Région de Lanaudière
492391937,K6H,CORNWALL,35,3558,Eastern,3558,Eastern Ontario Health Unit
492391990,L7T,BURLINGTON,35,3536,Halton,3536,Halton Region Health Department
492392019,M5V,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492392020,T2X,CALGARY,48,4832,Calgary,4832,Calgary Zone
492392037,K1L,VANIER,35,3551,Ottawa,3551,Ottawa Public Health
492392064,L6Z,BRAMPTON,35,3553,Peel,3553,Peel Public Health
492392091,L6V,BRAMPTON,35,3553,Peel,3553,Peel Public Health
492392095,V2W,MAPLE RIDGE,59,5902,Fraser,591,Fraser
492392104,V0X,HOPE,59,5901,Interior,592,Interior
492392116,S0A,CANORA,47,4703,Central,473,Central
492392121,V2E,KAMLOOPS,59,5901,Interior,592,Interior
492392134,T1L,BANFF,48,4832,Calgary,4832,Calgary Zone
492392169,M4Y,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492392171,L8R,HAMILTON,35,3537,Hamilton,3537,Hamilton Public Health Services
492392199,L0B,ORONO,35,3530,Durham,3530,Durham Region Health Department
492392223,L8L,HAMILTON,35,3537,Hamilton,3537,Hamilton Public Health Services
492392242,H4A,MONTREAL,24,2406,Montréal,2406,Région de Montréal
492392258,K7V,RENFREW,35,3557,Renfrew,3557,Renfrew County and District Health Unit
492392276,T2A,CALGARY,48,4832,Calgary,4832,Calgary Zone
492392277,L6E,MARKHAM,35,3570,York,3570,York Region Public Health
492392280,V8V,VICTORIA,59,5904,Island,593,Vancouver Island
492392285,T8N,ST. ALBERT,48,4834,Edmonton,4834,Edmonton Zone
492392323,L6P,BRAMPTON,35,3553,Peel,3553,Peel Public Health
492392337,S4W,REGINA,47,4705,Regina,475,Regina
492392340,M1P,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
492392344,J4K,LONGUEUIL,24,2416,Montérégie,2416,Région de la Montérégie
492392365,V2A,PENTICTON,59,5901,Interior,592,Interior
492392377,L4S,RICHMOND HILL,35,3570,York,3570,York Region Public Health
492392402,V5R,VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal
492392454,V2E,KAMLOOPS,59,5901,Interior,592,Interior
492392512,V2Y,LANGLEY,59,5902,Fraser,591,Fraser
492392549,L4A,STOUFFVILLE,35,3570,York,3570,York Region Public Health
492392573,M5C,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492392606,L1B,NEWCASTLE,35,3530,Durham,3530,Durham Region Health Department
492392607,V3S,SURREY,59,5902,Fraser,591,Fraser
492392629,V6J,VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal
492392672,N5W,LONDON,35,3544,Middlesex-London,3544,Middlesex-London Health Unit
492392720,M8Y,ETOBICOKE,35,3595,Toronto,3595,Toronto Public Health
492392722,K8V,TRENTON,35,3538,Hastings Prince Edward,3538,Hastings and Prince Edward Counties Health Unit
492392733,T6E,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492392748,J3V,SAINT-BRUNO,24,2416,Montérégie,2416,Région de la Montérégie
492392790,N1T,CAMBRIDGE,35,3565,Waterloo,3565,"Region of Waterloo, Public Health"
492392794,L4A,STOUFFVILLE,35,3570,York,3570,York Region Public Health
492392819,A1E,ST. JOHN'S,10,1011,Eastern,1011,Eastern Regional Health Authority
492392844,B4V,BRIDGEWATER,12,1201,Zone 1 - Western,1201,Zone 1 - Western
492392847,K1C,ORLEANS,35,3551,Ottawa,3551,Ottawa Public Health
492392867,J6E,JOLIETTE,24,2414,Lanaudière,2414,Région de Lanaudière
492392885,M4E,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492392897,K9J,PETERBOROUGH,35,3555,Peterborough,3555,Peterborough Public Health
492392902,T6R,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492392942,T6C,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492392965,M6L,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health
492392983,T1C,MEDICINE HAT,48,4831,South,4831,South Zone
492393004,K7A,SMITHS FALLS,35,3543,Leeds Grenville and Lanark,3543,"Leeds, Grenville and Lanark District Health Unit"
492393018,L4M,BARRIE,35,3560,Simcoe Muskoka,3560,Simcoe Muskoka District Health Unit
492393057,V7M,NORTH VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal
492393070,L7S,BURLINGTON,35,3536,Halton,3536,Halton Region Health Department
492393077,M6S,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492393104,M9A,ETOBICOKE,35,3595,Toronto,3595,Toronto Public Health
492393115,L4G,AURORA,35,3570,York,3570,York Region Public Health
492393126,M4K,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492393130,L6H,OAKVILLE,35,3536,Halton,3536,Halton Region Health Department
492393134,T5R,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492393136,T9V,LLOYDMINSTER,48,4833,Central,4833,Central Zone
492393145,S4T,REGINA,47,4705,Regina,475,Regina
492393150,T2E,CALGARY,48,4832,Calgary,4832,Calgary Zone
492393175,T8A,SHERWOOD PARK,48,4834,Edmonton,4834,Edmonton Zone
492393179,L5M,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health
492393236,V7N,NORTH VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal
492393237,T3K,CALGARY,48,4832,Calgary,4832,Calgary Zone
492393258,E3B,FREDERICTON,13,1303,Zone 3 (Fredericton area),1303,Zone 3 (Fredericton area)
492393316,B3M,HALIFAX,12,1204,Zone 4 - Central,1204,Zone 4 - Central
492393320,T5P,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492393348,M1L,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
492393368,T0C,STETTLER,48,4833,Central,4833,Central Zone
492393373,H2G,MONTREAL,24,2406,Montréal,2406,Région de Montréal
492393377,L4N,BARRIE,35,3560,Simcoe Muskoka,3560,Simcoe Muskoka District Health Unit
492393397,V2R,CHILLIWACK,59,5902,Fraser,591,Fraser
492393483,T5L,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492393492,K1T,GLOUCESTER,35,3551,Ottawa,3551,Ottawa Public Health
492393497,H1G,MONTREAL-NORD,24,2406,Montréal,2406,Région de Montréal
492393498,H4B,MONTREAL,24,2406,Montréal,2406,Région de Montréal
492393514,H3L,MONTREAL,24,2406,Montréal,2406,Région de Montréal
492393520,V1R,TRAIL,59,5901,Interior,592,Interior
492393537,N4N,HANOVER,35,3533,Grey Bruce,3533,Grey Bruce Health Unit
492393596,T5Z,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492393616,T2W,CALGARY,48,4832,Calgary,4832,Calgary Zone
492393635,M1K,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
492393639,M5V,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492393650,L6C,MARKHAM,35,3570,York,3570,York Region Public Health
492393671,L6S,BRAMPTON,35,3553,Peel,3553,Peel Public Health
492393722,H3M,MONTREAL,24,2406,Montréal,2406,Région de Montréal
492393767,V7L,NORTH VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal
492393781,K7M,KINGSTON,35,3541,Kingston Frontenac Lennox & Addington,3541,"Kingston, Frontenac and Lennox and Addington Health Unit"
492393783,N2A,KITCHENER,35,3565,Waterloo,3565,"Region of Waterloo, Public Health"
492393784,A0G,LEWISPORTE,10,1012,Central,1012,Central Regional Health Authority
492393802,K2J,NEPEAN,35,3551,Ottawa,3551,Ottawa Public Health
492393822,T6H,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492393833,H2T,MONTREAL,24,2406,Montréal,2406,Région de Montréal
492393846,L6L,OAKVILLE,35,3536,Halton,3536,Halton Region Health Department
492393868,M6S,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492393872,B0P,BERWICK,12,1201,Zone 1 - Western,1201,Zone 1 - Western
492393921,V6G,VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal
492393923,H4V,MONTREAL,24,2406,Montréal,2406,Région de Montréal
492393936,T0A,ST PAUL,48,4835,North,4835,North Zone
492393971,T4H,OLDS,48,4833,Central,4833,Central Zone
492393976,H9R,POINTE-CLAIRE,24,2406,Montréal,2406,Région de Montréal
492393989,M3H,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health
492393999,M4W,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492394037,V7C,RICHMOND,59,5903,Vancouver Coastal,595,Vancouver Coastal
492394067,T4T,ROCKY MOUNTAIN HOUSE,48,4833,Central,4833,Central Zone
492394128,V5H,BURNABY,59,5902,Fraser,591,Fraser
492394131,M5B,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492394174,M4L,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492394176,T5R,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492394186,N2A,KITCHENER,35,3565,Waterloo,3565,"Region of Waterloo, Public Health"
492394192,H1V,MONTREAL,24,2406,Montréal,2406,Région de Montréal
492394216,N3T,BRANTFORD,35,3527,Brant,3527,Brant County Health Unit
492394238,J4X,BROSSARD,24,2416,Montérégie,2416,Région de la Montérégie
492394255,T3H,CALGARY,48,4832,Calgary,4832,Calgary Zone
492394290,L5A,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health
492394313,V3R,SURREY,59,5902,Fraser,591,Fraser
492394315,T3K,CALGARY,48,4832,Calgary,4832,Calgary Zone
492394328,A1E,ST. JOHN'S,10,1011,Eastern,1011,Eastern Regional Health Authority
492394331,V6Y,RICHMOND,59,5903,Vancouver Coastal,595,Vancouver Coastal
492394343,M6G,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492394372,K4A,ORLEANS,35,3551,Ottawa,3551,Ottawa Public Health
492394437,R1C,NAROL,46,4603,Interlake-Eastern,4603,Interlake-Eastern Regional Health Authority
492394442,H9B,DOLLARD-DES-ORMEAUX,24,2406,Montréal,2406,Région de Montréal
492394520,T3H,CALGARY,48,4832,Calgary,4832,Calgary Zone
492394565,V8T,VICTORIA,59,5904,Island,593,Vancouver Island
492394570,T0M,RED DEER COUNTY,48,4833,Central,4833,Central Zone
492394605,E2A,BATHURST,13,1306,Zone 6 (Bathurst area),1306,Zone 6 (Bathurst area)
492394647,J8V,CANTLEY,24,2407,Outaouais,2407,Région de l'Outaouais
492394660,M1P,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
492394688,V5H,BURNABY,59,5902,Fraser,591,Fraser
492394715,V1S,KAMLOOPS,59,5901,Interior,592,Interior
492394731,A1Y,CARBONEAR,10,1011,Eastern,1011,Eastern Regional Health Authority
492394907,V2R,CHILLIWACK,59,5902,Fraser,591,Fraser
492394915,M2R,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health
492394917,V5K,VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal
492394918,R2N,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492394921,L6P,BRAMPTON,35,3553,Peel,3553,Peel Public Health
492422811,R0K,CARBERRY,46,4602,Prairie Mountain,4602,Prairie Mountain Health
492611818,G4R,SEPT-ILES,24,2409,Côte-Nord,2409,Région de la Côte-Nord
492618722,R0A,NIVERVILLE,46,4605,Southern Health,4605,Southern Health—Santé Sud
492638676,R2J,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492707670,E3B,FREDERICTON,13,1303,Zone 3 (Fredericton area),1303,Zone 3 (Fredericton area)
492707671,A2H,CORNER BROOK,10,1013,Western,1013,Western Regional Health Authority
492707740,V2B,KAMLOOPS,59,5901,Interior,592,Interior
492707849,R3B,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492708011,M4W,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492708126,L4H,WOODBRIDGE,35,3570,York,3570,York Region Public Health
492708184,M1S,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
492708200,K1V,OTTAWA,35,3551,Ottawa,3551,Ottawa Public Health
492708224,P3C,SUDBURY,35,3561,Sudbury,3561,Sudbury and District Health Unit
492708247,E5T,NORTON,13,1302,Zone 2 (Saint John area),1302,Zone 2 (Saint John area)
492708271,N2M,KITCHENER,35,3565,Waterloo,3565,"Region of Waterloo, Public Health"
492708280,H8P,LASALLE,24,2406,Montréal,2406,Région de Montréal
492708282,J7Z,SAINT-JEROME,24,2415,Laurentides,2415,Région des Laurentides
492708286,K0L,DOURO-DUMMER,35,3555,Peterborough,3555,Peterborough Public Health
492708365,M1R,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
492708390,G5A,LA MALBAIE,24,2403,Capitale-Nationale,2403,Région de la Capitale-Nationale
492708447,T6K,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492708549,K0M,MINDEN,35,3535,Haliburton Kawartha Pineridge,3535,"Haliburton, Kawartha, Pine Ridge District Health Unit"
492708560,M1W,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
492708670,L4A,STOUFFVILLE,35,3570,York,3570,York Region Public Health
492708701,V1C,CRANBROOK,59,5901,Interior,592,Interior
492708769,V3T,SURREY,59,5902,Fraser,591,Fraser
492708803,G0A,BOISCHATEL,24,2403,Capitale-Nationale,2403,Région de la Capitale-Nationale
492708806,T5H,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492708843,A1N,MOUNT PEARL,10,1011,Eastern,1011,Eastern Regional Health Authority
492708946,A1G,ST. JOHN'S,10,1011,Eastern,1011,Eastern Regional Health Authority
492709000,N9Y,KINGSVILLE,35,3568,Windsor-Essex,3568,Windsor-Essex County Health Unit
492709038,L6H,OAKVILLE,35,3536,Halton,3536,Halton Region Health Department
492709039,L3T,THORNHILL,35,3570,York,3570,York Region Public Health
492709078,L8E,STONEY CREEK,35,3537,Hamilton,3537,Hamilton Public Health Services
